Date,Price
01/05/2009,145550.00
01/06/2009,146984.00
01/07/2009,149620.00
01/08/2009,151096.00
01/09/2009,152283.00
01/10/2009,153306.00
01/11/2009,153823.00
01/12/2009,154832.00
01/01/2010,154268.00
01/02/2010,154654.00
01/03/2010,154645.00
01/04/2010,156625.00
01/05/2010,157379.00
01/06/2010,158155.00
01/07/2010,159757.00
01/08/2010,159748.00
01/09/2010,159337.00
01/10/2010,157562.00
01/11/2010,155691.00
01/12/2010,155405.00
01/01/2011,154113.00
01/02/2011,153297.00
01/03/2011,152591.00
01/04/2011,154958.00
01/05/2011,154269.00
01/06/2011,154530.00
01/07/2011,156476.00
01/08/2011,156570.00
01/09/2011,156179.00
01/10/2011,154456.00
01/11/2011,154533.00
01/12/2011,153880.00
01/01/2012,152831.00
01/02/2012,152415.00
01/03/2012,152866.00
01/04/2012,154623.00
01/05/2012,155121.00
01/06/2012,156645.00
01/07/2012,157246.00
01/08/2012,157431.00
01/09/2012,156871.00
01/10/2012,155761.00
01/11/2012,155888.00
01/12/2012,155534.00
01/01/2013,154495.00
01/02/2013,154465.00
01/03/2013,155385.00
01/04/2013,156909.00
01/05/2013,157736.00
01/06/2013,159045.00
01/07/2013,160830.00
01/08/2013,162110.00
01/09/2013,162217.00
01/10/2013,161554.00
01/11/2013,162450.00
01/12/2013,163942.00
01/01/2014,164137.00
01/02/2014,164818.00
01/03/2014,165385.00
01/04/2014,169065.00
01/05/2014,170856.00
01/06/2014,172331.00
01/07/2014,174755.00
01/08/2014,176803.00
01/09/2014,176993.00
01/10/2014,176731.00
01/11/2014,176137.00
01/12/2014,176561.00
01/01/2015,175636.00
01/02/2015,175785.00
01/03/2015,176439.00
01/04/2015,177994.00
01/05/2015,179917.00
01/06/2015,181289.00
01/07/2015,184365.00
01/08/2015,186053.00
01/09/2015,186435.00
01/10/2015,186689.00
01/11/2015,188125.00
01/12/2015,188767.00
01/01/2016,189268.00
01/02/2016,189352.00
01/03/2016,191298.00
01/04/2016,192013.00
01/05/2016,194250.00
01/06/2016,196106.00
01/07/2016,198169.00
01/08/2016,198186.00
01/09/2016,197883.00
01/10/2016,197230.00
01/11/2016,198157.00
01/12/2016,198513.00
01/01/2017,198276.00
01/02/2017,198695.00
01/03/2017,198270.00
01/04/2017,201407.00
01/05/2017,202616.00
01/06/2017,204347.00
01/07/2017,207005.00
01/08/2017,207944.00
01/09/2017,207167.00
01/10/2017,207349.00
01/11/2017,206760.00
01/12/2017,207568.00
01/01/2018,206844.00
01/02/2018,207385.00
01/03/2018,206133.00
01/04/2018,208103.00
01/05/2018,208953.00
01/06/2018,210355.00
01/07/2018,212963.00
01/08/2018,213618.00
01/09/2018,213210.00
01/10/2018,212986.00
01/11/2018,212077.00
01/12/2018,211621.00
01/01/2019,210317.00
01/02/2019,209787.00
01/03/2019,209202.00
01/04/2019,210718.00
01/05/2019,211005.00
01/06/2019,211915.00
01/07/2019,214282.00
01/08/2019,214971.00
01/09/2019,215127.00
01/10/2019,214559.00
01/11/2019,213801.00
01/12/2019,213521.00
01/01/2020,213657.00
01/02/2020,212429.00
01/03/2020,214344.00
01/04/2020,212160.00
01/05/2020,213258.00
01/06/2020,216208.00
01/07/2020,218030.00
01/08/2020,220163.00
01/09/2020,222511.00
01/10/2020,224377.00
01/11/2020,226675.00
01/12/2020,228446.00
01/01/2021,228417.00
01/02/2021,229067.00
01/03/2021,232463.00
01/04/2021,228979.00
01/05/2021,230532.00
01/06/2021,242777.00
01/07/2021,231386.00
01/08/2021,238403.00
01/09/2021,245371.00
01/10/2021,239236.00
01/11/2021,243930.00
01/12/2021,245189.00
01/01/2022,248031.00
01/02/2022,248309.00
01/03/2022,249232.00
01/04/2022,252167.00
01/05/2022,255040.00
01/06/2022,258118.00
01/07/2022,262904.00
01/08/2022,265124.00
01/09/2022,265727.00
01/10/2022,265693.00
01/11/2022,265299.00
01/12/2022,263190.00
01/01/2023,260941.00
01/02/2023,258788.00
01/03/2023,255885.00
01/04/2023,256479.00
01/05/2023,257330.00
01/06/2023,258275.00
01/07/2023,261182.00
01/08/2023,262602.00
01/09/2023,261318.00
01/10/2023,260129.00
01/11/2023,258368.00
01/12/2023,256177.00
01/01/2024,255972.00
01/02/2024,254633.00
01/03/2024,255082.00
01/04/2024,256478.00
01/05/2024,258565.00
01/06/2024,259585.00
01/07/2024,262479.00
01/08/2024,265085.00
01/09/2024,264750.00
01/10/2024,265252.00
01/11/2024,264515.00
01/12/2024,263991.00
